날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-06,DH리프팅,274620,10,10,122,175,22,321280,12,-46660,-2,8.20%
2025-07-06,곰(베이지),68730,3,3,29,37,6,68730,3,0,0,10.34%
2025-07-06,넥쎄 화이트,0,0,0,3,3,0,0,0,0,0,0.00%
2025-07-06,노비어,1278000,67,71,1065,1322,122,1314000,73,-36000,-2,6.29%
2025-07-06,닥터코링+,130200,6,6,79,133,12,130200,6,0,0,7.59%
2025-07-06,리필,180000,13,15,235,306,27,204000,17,-24000,-2,5.53%
2025-07-06,신방스,54000,5,5,19,31,4,54000,5,0,0,26.32%
2025-07-06,아이씰12p,726300,25,27,948,1129,32,833900,31,-107600,-4,2.64%
2025-07-06,아이씰6p,938700,62,63,788,970,100,1013200,68,-74500,-5,7.87%
2025-07-06,윈디 그린,271750,9,9,542,710,36,356400,12,-84650,-3,1.66%
2025-07-06,윈디 화이트,423160,14,15,676,880,55,512560,18,-89400,-3,2.07%
2025-07-06,턱밴드,51200,5,4,67,112,13,76800,6,-25600,-2,7.46%
2025-07-06,토끼(브라운),0,0,0,12,15,0,0,0,0,0,0.00%
2025-07-06,토끼(핑크),45820,2,2,8,17,0,45820,2,0,0,25.00%
2025-07-06,히트건 민트,0,0,0,67,75,3,78000,1,-78000,-1,0.00%
2025-07-06,히트건 블루,0,0,0,39,55,7,0,0,0,0,0.00%
2025-07-06,히트건 핑크,0,0,0,55,66,8,0,0,0,0,0.00%
2025-07-06,히트건 화이트,57460,1,1,43,54,11,129290,2,-71830,-1,2.33%
