날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-10,DH리프팅,290480,11,11,92,252,85,318480,12,-28000,-1,11.96%
2025-07-10,곰(베이지),0,0,0,26,35,2,0,0,0,0,0.00%
2025-07-10,넥쎄 베이지,0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-10,넥쎄 화이트,0,0,0,2,2,0,0,0,0,0,0.00%
2025-07-10,노비어,896760,45,50,717,1070,185,1040760,58,-144000,-8,6.28%
2025-07-10,닥터코링+,303800,14,14,74,195,59,303800,14,0,0,18.92%
2025-07-10,리필,228000,16,19,147,193,22,240000,20,-12000,-1,10.88%
2025-07-10,신방스,32400,3,3,26,32,10,32400,3,0,0,11.54%
2025-07-10,아이씰12p,860800,32,32,896,1103,54,995300,37,-134500,-5,3.57%
2025-07-10,아이씰6p,1102600,74,74,716,934,95,1177100,79,-74500,-5,10.34%
2025-07-10,윈디 그린,472990,16,16,458,600,41,527940,18,-54950,-2,3.49%
2025-07-10,윈디 화이트,867370,28,30,651,956,56,1043190,36,-175820,-6,4.30%
2025-07-10,턱밴드,38400,3,3,58,85,9,51200,4,-12800,-1,5.17%
2025-07-10,토끼(브라운),0,0,0,10,17,1,0,0,0,0,0.00%
2025-07-10,토끼(핑크),22910,1,1,10,12,2,22910,1,0,0,10.00%
2025-07-10,히트건 민트,0,0,0,88,147,35,0,0,0,0,0.00%
2025-07-10,히트건 블루,287320,4,4,40,57,7,287320,4,0,0,10.00%
2025-07-10,히트건 핑크,195810,3,3,42,62,4,195810,3,0,0,7.14%
2025-07-10,히트건 화이트,331180,5,5,55,79,7,331180,5,0,0,9.09%
