날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-01,DH리프팅,470620,17,17,114,323,146,554620,20,-84000,-3,14.91%
2025-07-01,곰(베이지),0,0,0,28,43,0,0,0,0,0,0.00%
2025-07-01,넥쎄 화이트,0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-01,노비어,1097460,56,61,818,1205,235,1133460,63,-36000,-2,6.85%
2025-07-01,닥터코링+,260400,12,12,108,217,54,260400,12,0,0,11.11%
2025-07-01,리필,228000,16,19,187,242,24,240000,20,-12000,-1,8.56%
2025-07-01,신방스,43200,4,4,20,55,23,43200,4,0,0,20.00%
2025-07-01,아이씰12p,1560200,54,58,686,856,61,1560200,58,0,0,7.87%
2025-07-01,아이씰6p,1266500,83,85,513,738,78,1400600,94,-134100,-9,16.18%
2025-07-01,윈디 그린,160380,9,6,480,662,54,427680,15,-267300,-9,1.88%
2025-07-01,윈디 화이트,822480,26,28,959,1351,97,995320,34,-172840,-6,2.71%
2025-07-01,턱밴드,153600,12,12,81,142,14,153600,12,0,0,14.81%
2025-07-01,토끼(브라운),0,0,0,7,12,0,0,0,0,0,0.00%
2025-07-01,토끼(핑크),22910,1,1,15,22,0,22910,1,0,0,6.67%
2025-07-01,히트건 민트,-78000,-1,-1,57,111,34,0,0,-78000,-1,-1.75%
2025-07-01,히트건 블루,129290,2,2,48,58,1,129290,2,0,0,4.17%
2025-07-01,히트건 핑크,0,0,0,21,25,2,0,0,0,0,0.00%
2025-07-01,히트건 화이트,71830,1,1,11,27,3,71830,1,0,0,9.09%
