날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-08,DH리프팅,402480,15,15,103,171,37,402480,15,0,0,14.56%
2025-07-08,곰(베이지),22910,1,1,22,32,1,45820,2,-22910,-1,4.55%
2025-07-08,넥쎄 베이지,0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-08,넥쎄 화이트,38000,1,1,2,7,1,38000,1,0,0,50.00%
2025-07-08,노비어,846000,47,47,878,1122,101,990000,55,-144000,-8,5.35%
2025-07-08,닥터코링+,260400,12,12,86,130,23,282100,13,-21700,-1,13.95%
2025-07-08,리필,154200,11,13,190,242,22,154200,13,0,0,5.79%
2025-07-08,신방스,0,0,0,13,27,3,0,0,0,0,0.00%
2025-07-08,아이씰12p,833900,31,31,668,948,40,860800,32,-26900,-1,4.64%
2025-07-08,아이씰6p,1206900,79,81,1019,1282,109,1281400,86,-74500,-5,7.75%
2025-07-08,윈디 그린,289580,10,10,665,902,42,467780,16,-178200,-6,1.50%
2025-07-08,윈디 화이트,559560,19,19,907,1248,64,857560,29,-298000,-10,2.09%
2025-07-08,턱밴드,64000,5,5,82,111,8,64000,5,0,0,6.10%
2025-07-08,토끼(브라운),22910,1,1,16,33,0,22910,1,0,0,6.25%
2025-07-08,토끼(핑크),0,0,0,15,25,2,0,0,0,0,0.00%
2025-07-08,히트건 민트,218370,3,3,61,86,14,218370,3,0,0,4.92%
2025-07-08,히트건 블루,143660,2,2,35,44,2,143660,2,0,0,5.71%
2025-07-08,히트건 핑크,156000,2,2,39,46,5,156000,2,0,0,5.13%
2025-07-08,히트건 화이트,143660,2,2,40,46,5,215490,3,-71830,-1,5.00%
