날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-05,DH리프팅,302600,12,12,109,328,128,330600,13,-28000,-1,11.01%
2025-07-05,곰(베이지),22910,1,1,35,49,4,22910,1,0,0,2.86%
2025-07-05,곰(핑크),0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-05,넥쎄 화이트,0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-05,노비어,1206000,64,67,1126,1606,235,1260000,70,-54000,-3,5.68%
2025-07-05,닥터코링+,217000,10,10,69,172,49,217000,10,0,0,14.49%
2025-07-05,리필,108000,8,9,267,344,34,108000,9,0,0,3.00%
2025-07-05,신방스,8640,1,1,15,50,16,8640,1,0,0,6.67%
2025-07-05,아이씰12p,1102900,40,41,1040,1235,62,1183600,44,-80700,-3,3.85%
2025-07-05,아이씰6p,1177100,75,79,703,922,86,1192000,80,-14900,-1,10.67%
2025-07-05,윈디 그린,475200,16,16,425,586,32,564300,19,-89100,-3,3.76%
2025-07-05,윈디 화이트,379950,13,13,565,822,68,463390,16,-83440,-3,2.30%
2025-07-05,턱밴드,25600,2,2,58,77,3,25600,2,0,0,3.45%
2025-07-05,토끼(브라운),22910,1,1,11,14,0,22910,1,0,0,9.09%
2025-07-05,토끼(핑크),0,0,0,12,18,2,0,0,0,0,0.00%
2025-07-05,히트건 민트,78000,1,1,57,130,38,78000,1,0,0,1.75%
2025-07-05,히트건 블루,71830,1,1,24,35,3,71830,1,0,0,4.17%
2025-07-05,히트건 핑크,78000,1,1,30,43,4,78000,1,0,0,3.33%
2025-07-05,히트건 화이트,143660,2,2,20,24,2,143660,2,0,0,10.00%
