날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-15,DH리프팅,506330,17,18,123,317,116,603610,22,-97280,-4,13.82%
2025-07-15,곰(베이지),45820,2,2,49,68,0,45820,2,0,0,4.08%
2025-07-15,넥쎄 화이트,0,0,0,3,3,0,0,0,0,0,0.00%
2025-07-15,노비어,805860,45,45,469,749,189,859860,48,-54000,-3,9.59%
2025-07-15,닥터코링+,108500,5,5,57,169,60,108500,5,0,0,8.77%
2025-07-15,리필,240000,16,20,92,127,16,240000,20,0,0,17.39%
2025-07-15,신방스,54000,5,5,40,67,14,54000,5,0,0,12.50%
2025-07-15,아이씰12p,941500,34,35,907,1163,31,995300,37,-53800,-2,3.75%
2025-07-15,아이씰6p,1117500,72,75,582,754,83,1147300,77,-29800,-2,12.37%
2025-07-15,윈디 그린,34920,1,1,134,195,11,148500,5,-113580,-4,0.75%
2025-07-15,윈디 화이트,151980,5,5,134,240,37,208600,7,-56620,-2,3.73%
2025-07-15,턱밴드,230400,17,18,102,143,15,230400,18,0,0,16.67%
2025-07-15,토끼(브라운),0,0,0,20,26,0,0,0,0,0,0.00%
2025-07-15,토끼(핑크),68730,3,3,10,14,3,68730,3,0,0,30.00%
2025-07-15,히트건 민트,-78000,-1,-1,48,112,41,0,0,-78000,-1,-2.08%
2025-07-15,히트건 블루,-71830,-1,-1,35,44,2,0,0,-71830,-1,-2.86%
2025-07-15,히트건 핑크,78000,1,1,20,22,3,78000,1,0,0,5.00%
2025-07-15,히트건 화이트,71830,1,1,21,26,1,71830,1,0,0,4.76%
