날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-04,DH리프팅,496990,17,18,106,352,150,580990,21,-84000,-3,16.04%
2025-07-04,곰(베이지),45820,2,2,39,63,4,45820,2,0,0,5.13%
2025-07-04,넥쎄 베이지,38000,1,1,3,4,1,38000,1,0,0,33.33%
2025-07-04,넥쎄 화이트,38000,1,1,3,4,0,38000,1,0,0,33.33%
2025-07-04,노비어,1238400,69,69,940,1313,194,1238400,69,0,0,7.34%
2025-07-04,닥터코링+,260400,12,12,80,186,49,303800,14,-43400,-2,15.00%
2025-07-04,리필,252000,21,21,217,281,21,288000,24,-36000,-3,9.68%
2025-07-04,신방스,32400,3,3,17,54,25,32400,3,0,0,17.65%
2025-07-04,아이씰12p,1129800,39,42,1061,1278,45,1183600,44,-53800,-2,3.68%
2025-07-04,아이씰6p,1206900,79,81,620,854,103,1311200,88,-104300,-7,12.74%
2025-07-04,윈디 그린,446990,15,15,464,676,43,555400,19,-108410,-4,3.23%
2025-07-04,윈디 화이트,406770,14,14,666,935,60,579610,20,-172840,-6,2.10%
2025-07-04,턱밴드,51200,4,4,63,82,2,51200,4,0,0,6.35%
2025-07-04,토끼(브라운),68730,3,3,7,13,1,68730,3,0,0,42.86%
2025-07-04,토끼(핑크),0,0,0,10,10,1,0,0,0,0,0.00%
2025-07-04,히트건 민트,0,0,0,52,112,34,0,0,0,0,0.00%
2025-07-04,히트건 블루,14370,0,0,24,30,5,71830,1,-57460,-1,0.00%
2025-07-04,히트건 핑크,0,0,0,15,18,0,0,0,0,0,0.00%
2025-07-04,히트건 화이트,215490,3,3,29,33,7,215490,3,0,0,10.34%
