날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-13,DH리프팅,387760,15,15,120,322,120,435580,17,-47820,-2,12.50%
2025-07-13,곰(베이지),68730,3,3,42,48,0,91640,4,-22910,-1,7.14%
2025-07-13,넥쎄 화이트,0,0,0,4,4,0,0,0,0,0,0.00%
2025-07-13,노비어,1042200,57,58,693,1128,231,1132200,63,-90000,-5,8.23%
2025-07-13,닥터코링+,130200,6,6,72,183,66,130200,6,0,0,8.33%
2025-07-13,리필,144000,11,12,171,229,24,156000,13,-12000,-1,6.43%
2025-07-13,신방스,139320,12,13,39,54,11,139320,13,0,0,30.77%
2025-07-13,아이씰12p,914600,33,34,880,1096,39,914600,34,0,0,3.75%
2025-07-13,아이씰6p,745000,50,50,584,754,87,774800,52,-29800,-2,8.56%
2025-07-13,윈디 그린,89100,3,3,316,378,26,118800,4,-29700,-1,0.95%
2025-07-13,윈디 화이트,86570,3,3,269,444,45,141850,5,-55280,-2,1.12%
2025-07-13,턱밴드,115200,9,9,67,92,7,128000,10,-12800,-1,13.43%
2025-07-13,토끼(브라운),45820,2,2,22,26,7,45820,2,0,0,9.09%
2025-07-13,토끼(핑크),0,0,0,15,17,2,0,0,0,0,0.00%
2025-07-13,히트건 민트,55440,1,1,91,172,53,55440,1,0,0,1.10%
2025-07-13,히트건 블루,0,0,0,66,83,4,0,0,0,0,0.00%
2025-07-13,히트건 핑크,234000,3,3,35,48,6,234000,3,0,0,8.57%
2025-07-13,히트건 화이트,0,0,0,35,41,1,0,0,0,0,0.00%
