날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-11,DH리프팅,395940,15,15,109,297,101,489260,19,-93320,-4,13.76%
2025-07-11,곰(베이지),0,0,0,17,19,1,0,0,0,0,0.00%
2025-07-11,넥쎄 베이지,0,0,0,1,1,0,0,0,0,0,0.00%
2025-07-11,넥쎄 화이트,0,0,0,4,4,0,0,0,0,0,0.00%
2025-07-11,노비어,932400,49,52,574,884,175,986400,55,-54000,-3,8.54%
2025-07-11,닥터코링+,173600,8,8,63,168,49,173600,8,0,0,12.70%
2025-07-11,리필,96000,7,8,112,156,17,96000,8,0,0,6.25%
2025-07-11,신방스,21600,2,2,18,34,4,21600,2,0,0,11.11%
2025-07-11,아이씰12p,1049100,39,39,798,963,54,1076000,40,-26900,-1,4.89%
2025-07-11,아이씰6p,953600,64,64,483,676,70,1057900,71,-104300,-7,13.25%
2025-07-11,윈디 그린,-20800,-1,-1,252,335,18,174420,6,-195220,-7,-0.40%
2025-07-11,윈디 화이트,234080,8,8,438,674,46,323480,11,-89400,-3,1.83%
2025-07-11,턱밴드,0,0,0,45,53,2,12800,1,-12800,-1,0.00%
2025-07-11,토끼(브라운),0,0,0,14,18,2,0,0,0,0,0.00%
2025-07-11,토끼(핑크),0,0,0,9,10,0,0,0,0,0,0.00%
2025-07-11,히트건 민트,133440,2,2,73,148,43,188880,3,-55440,-1,2.74%
2025-07-11,히트건 블루,143660,1,2,46,53,2,143660,2,0,0,2.17%
2025-07-11,히트건 핑크,78000,1,1,33,38,3,78000,1,0,0,3.03%
2025-07-11,히트건 화이트,71830,1,1,25,32,4,143660,2,-71830,-1,4.00%
