날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-03,DH리프팅,382660,14,14,90,292,126,466660,17,-84000,-3,15.56%
2025-07-03,곰(베이지),45820,2,2,23,32,1,45820,2,0,0,8.70%
2025-07-03,넥쎄 베이지,38000,1,1,2,3,1,38000,1,0,0,50.00%
2025-07-03,노비어,1368000,74,76,990,1415,235,1404000,78,-36000,-2,7.47%
2025-07-03,닥터코링+,260400,12,12,83,164,35,260400,12,0,0,14.46%
2025-07-03,리필,132000,10,11,207,300,18,144000,12,-12000,-1,4.83%
2025-07-03,신방스,43200,4,4,22,59,24,43200,4,0,0,18.18%
2025-07-03,아이씰12p,1264300,46,47,1105,1326,72,1345000,50,-80700,-3,4.16%
2025-07-03,아이씰6p,1400600,94,94,741,1016,177,1445300,97,-44700,-3,12.69%
2025-07-03,윈디 그린,564300,19,19,480,691,40,623700,21,-59400,-2,3.96%
2025-07-03,윈디 화이트,518520,18,18,963,1317,94,816520,28,-298000,-10,1.87%
2025-07-03,턱밴드,38400,3,3,62,103,3,51200,4,-12800,-1,4.84%
2025-07-03,토끼(브라운),22910,1,1,13,15,1,22910,1,0,0,7.69%
2025-07-03,토끼(핑크),0,0,0,9,11,0,0,0,0,0,0.00%
2025-07-03,히트건 민트,78000,1,1,36,85,35,78000,1,0,0,2.78%
2025-07-03,히트건 블루,0,0,0,38,51,5,0,0,0,0,0.00%
2025-07-03,히트건 핑크,78000,1,1,18,29,5,78000,1,0,0,5.56%
2025-07-03,히트건 화이트,0,0,0,14,17,0,71830,1,-71830,-1,0.00%
