날짜,통일상품명,매출,주문,판매량,방문자,조회,장바구니,총 매출,총 판매수,총 취소 금액,총 취소된 상품수,구매전환율
2025-07-09,DH리프팅,467820,17,17,106,278,111,467820,17,0,0,16.04%
2025-07-09,곰(베이지),0,0,0,32,51,7,0,0,0,0,0.00%
2025-07-09,노비어,954000,53,53,778,1129,204,1044000,58,-90000,-5,6.81%
2025-07-09,닥터코링+,390600,17,18,72,182,61,390600,18,0,0,23.61%
2025-07-09,리필,223800,17,19,163,202,18,247800,21,-24000,-2,10.43%
2025-07-09,신방스,21600,2,2,22,42,7,21600,2,0,0,9.09%
2025-07-09,아이씰12p,968400,35,36,678,886,25,1049100,39,-80700,-3,5.16%
2025-07-09,아이씰6p,908900,61,61,928,1126,89,983400,66,-74500,-5,6.57%
2025-07-09,윈디 그린,585000,20,20,611,841,42,792900,27,-207900,-7,3.27%
2025-07-09,윈디 화이트,326680,11,11,936,1374,102,615740,21,-289060,-10,1.18%
2025-07-09,턱밴드,89600,7,7,54,80,5,89600,7,0,0,12.96%
2025-07-09,토끼(브라운),68730,3,3,27,41,4,91640,4,-22910,-1,11.11%
2025-07-09,토끼(핑크),0,0,0,18,22,3,0,0,0,0,0.00%
2025-07-09,히트건 민트,78000,1,1,73,143,39,78000,1,0,0,1.37%
2025-07-09,히트건 블루,359150,5,5,48,67,7,359150,5,0,0,10.42%
2025-07-09,히트건 핑크,0,0,0,48,56,5,0,0,0,0,0.00%
2025-07-09,히트건 화이트,129670,2,2,35,52,5,129670,2,0,0,5.71%
